County,State ,PercentWhite,Income,PercentUninsured,PercentBachOrHigher,Popsqmi,PercentBroadband,,,,,,
Alamance,NC,73.9,45735,0.141,0.24,356.5,0.759,,,,,,
Alexander,NC,90.8,44961,0.134,0.147,143.1,0.697,,,,,,
Alleghany,NC,95.1,37558,0.183,0.167,47.5,0.706,,,,,,
Anson,NC,47.4,39126,0.131,0.096,50.7,0.69,,,,,,
Ashe,NC,96.9,40978,0.157,0.19,64,0.694,,,,,,
Avery,NC,93.1,38134,0.2,0.206,72,0.672,,,,,,
Beaufort,NC,71.1,43688,0.139,0.194,57.7,0.654,,,,,,
Bertie,NC,36.1,33143,0.132,0.134,30.4,0.555,,,,,,
Bladen,NC,60.8,32378,0.167,0.151,40.2,0.652,,,,,,
Brunswick,NC,86.3,54406,0.135,0.286,126.8,0.812,,,,,,
Buncombe,NC,89.4,50668,0.135,0.392,362.9,0.809,,,,,,
Burke,NC,86,42516,0.147,0.166,179.3,0.683,,,,,,
Cabarrus,NC,73.4,64174,0.104,0.312,492.1,0.877,,,,,,
Caldwell,NC,91.7,42072,0.139,0.153,176.1,0.747,,,,,,
Camden,NC,82.5,63349,0.119,0.179,41.5,0.836,,,,,,
Carteret,NC,90,54428,0.127,0.284,131.3,0.824,,,,,,
Caswell,NC,64.4,43961,0.129,0.155,55.8,0.631,,,,,,
Catawba,NC,84,51157,0.132,0.219,387.1,0.788,,,,,,
Chatham,NC,82.1,63531,0.142,0.413,93.1,0.768,,,,,,
Cherokee,NC,93.5,40294,0.14,0.192,60.3,0.699,,,,,,
Chowan,NC,62.6,42621,0.119,0.198,85.8,0.671,,,,,,
Clay,NC,96.1,38801,0.156,0.228,49.3,0.76,,,,,,
Cleveland,NC,75.9,40393,0.119,0.174,211.3,0.631,,,,,,
Columbus,NC,63.2,36398,0.148,0.131,62,0.615,,,,,,
Craven,NC,71.7,50870,0.116,0.257,146,0.806,,,,,,
Cumberland,NC,51.1,45716,0.108,0.25,489.7,0.817,,,,,,
Currituck,NC,90.6,66284,0.128,0.231,89.9,0.804,,,,,,
Dare,NC,94,58012,0.13,0.33,88.5,0.874,,,,,,
Davidson,NC,85.9,47271,0.129,0.185,294.7,0.759,,,,,,
Davie,NC,89.9,57611,0.125,0.229,156.2,0.809,,,,,,
Duplin,NC,70.3,38850,0.196,0.111,71.7,0.609,,,,,,
Durham,NC,53.7,58190,0.134,0.475,935.7,0.854,,,,,,
Edgecombe,NC,39.8,35516,0.121,0.127,111.9,0.616,,,,,,
Forsyth,NC,66.7,50128,0.129,0.338,859.2,0.793,,,,,,
Franklin,NC,70.2,53175,0.144,0.213,123.3,0.754,,,,,,
Gaston,NC,78,49384,0.12,0.206,578.8,0.777,,,,,,
Gates,NC,65.5,52205,0.117,0.144,35.8,0.671,,,,,,
Graham,NC,88.5,36525,0.186,0.135,30.3,0.497,,,,,,
Granville,NC,64.5,55628,0.115,0.223,112.7,0.757,,,,,,
Greene,NC,58.6,38306,0.188,0.105,80.3,0.719,,,,,,
Guilford,NC,56.2,51072,0.119,0.353,756.4,0.726,,,,,,
Halifax,NC,40,34251,0.135,0.144,75.5,0.569,,,,,,
Harnett,NC,71.4,51630,0.13,0.207,192.7,0.763,,,,,,
Haywood,NC,96.1,49800,0.12,0.25,106.6,0.691,,,,,,
Henderson,NC,92.5,52815,0.152,0.318,286.1,0.795,,,,,,
Hertford,NC,35.6,37005,0.119,0.146,69.9,0.6,,,,,,
